Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,867.469995997,96.3525857472,419.68413354,0.0,34.9616554283,113.312780494,552.210962307,537.840873606,5.66466996096,8.70541873986
 01/01  02:00:00,881.173981648,96.3525857472,410.44683748,0.0,34.9616554283,113.312780494,565.785217032,542.729180873,5.66466996096,17.3913661983
 01/01  03:00:00,873.082301707,96.3525857472,404.733118745,0.0,34.9616554283,113.312780494,561.425813173,547.055376779,5.66466996096,8.70576643303
 01/01  04:00:00,867.093244955,96.3525857472,401.936686649,0.0,34.9616554283,113.312780494,574.356977123,551.300532352,5.66466996096,17.3917748099
 01/01  05:00:00,869.797621064,96.3525857472,400.291949369,0.0,44.4937663224,113.312780494,559.784783408,545.414178078,5.66466996096,8.70593536918
 01/01  06:00:00,873.389695808,96.3525857472,398.699163066,0.0,44.4937663224,113.312780494,578.576084405,547.022325728,14.1616749024,17.3920837743
 01/01  07:00:00,951.90737708,96.3525857472,397.170721183,0.0,54.0258772165,176.889270242,515.978947646,478.949506191,28.3233498048,8.7060916507
 01/01  08:00:00,948.406485793,96.3525857472,397.071592555,0.0,54.0258772165,184.38654557,528.548587737,468.671177951,42.4850247072,17.3923850789
 01/01  09:00:00,1035.94165944,96.3525857472,400.820191331,0.0,65.1572554096,220.04316451,517.067797015,442.96078267,56.6466996096,17.460314736
 01/01  10:00:00,1029.42318415,96.3525857472,404.311144254,0.0,65.1572554096,212.545889182,491.112260803,431.091614768,42.4850247072,17.5356213273
 01/01  11:00:00,1020.06034443,96.3525857472,409.681169955,0.0,65.1572554096,220.04316451,525.796437044,428.591682351,70.808374512,26.3963801817
 01/01  12:00:00,1009.84890038,96.3525857472,417.616648406,0.0,65.1572554096,220.04316451,515.274434233,418.066369569,70.808374512,26.3996901517
 01/01  13:00:00,1006.16118662,96.3525857472,424.191107894,0.0,65.1572554096,220.04316451,503.583137018,406.375246398,70.808374512,26.3995161075
 01/01  14:00:00,996.751676575,96.3525857472,429.992933856,0.0,65.1572554096,212.545889182,474.547670303,391.502459232,56.6466996096,26.3985114617
 01/01  15:00:00,997.16417499,96.3525857472,433.236111395,0.0,65.1572554096,212.545889182,454.655111051,385.772572014,42.4850247072,26.3975143298
 01/01  16:00:00,993.695774454,96.3525857472,431.782521838,0.0,65.1572554096,212.545889182,462.350754979,379.307535143,56.6466996096,26.3965202265
 01/01  17:00:00,965.178057127,96.3525857472,425.656595101,0.0,65.1572554096,220.04316451,504.428390346,393.062974328,84.9700494144,26.3953666043
 01/01  18:00:00,929.932919463,96.3525857472,425.417831175,0.0,54.0258772165,184.38654557,529.74370836,427.24040412,84.9700494144,17.5332548257
 01/01  19:00:00,900.826664325,96.3525857472,424.18554403,0.0,44.4937663224,163.454314868,569.288714543,466.92731453,84.9700494144,17.3913505987
 01/01  20:00:00,893.316612608,96.3525857472,423.74356371,0.0,44.4937663224,155.95703954,538.495280852,473.141465605,56.6466996096,8.70711563804
 01/01  21:00:00,861.096942014,96.3525857472,422.611520241,0.0,44.4937663224,124.558693486,584.514959613,510.476574936,56.6466996096,17.3916850679
 01/01  22:00:00,849.264157573,96.3525857472,421.936515645,0.0,44.4937663224,124.558693486,567.372042014,516.179737915,42.4850247072,8.70727939145
 01/01  23:00:00,847.085914242,96.3525857472,423.695282652,0.0,34.9616554283,124.558693486,576.747528879,531.032197456,28.3233498048,17.3919816184
 01/01  24:00:00,854.797097826,96.3525857472,423.643251115,0.0,34.9616554283,124.558693486,556.47260714,533.606127721,14.1616749024,8.7048045174
 01/02  01:00:00,853.395391078,96.3525857472,423.543779342,0.0,46.0930336215,113.312780494,555.988983495,532.931958317,5.66466996096,17.3923552171
 01/02  02:00:00,842.90213575,96.3525857472,424.018653666,0.0,46.0930336215,113.312780494,552.986190068,538.616519924,5.66466996096,8.70500018297
 01/02  03:00:00,821.320707401,96.3525857472,414.30543032,0.0,46.0930336215,113.312780494,568.172735543,545.115326071,5.66466996096,17.3927395109
 01/02  04:00:00,809.278506846,96.3525857472,405.537565271,0.0,46.0930336215,113.312780494,563.710587096,549.340759538,5.66466996096,8.70515759669
 01/02  05:00:00,889.16713758,96.3525857472,404.333992172,0.0,100.150657288,148.969399434,535.252784885,512.195583678,5.66466996096,17.3925312453
 01/02  06:00:00,880.305022895,96.3525857472,403.962894415,0.0,100.150657288,149.894399434,1056.16572652,1033.29874105,14.1616749024,8.70531056872
 01/02  07:00:00,1103.60016445,96.3525857472,404.017835161,0.0,176.471037341,302.612436532,703.205001057,657.488228935,28.3233498048,17.3934223173
 01/02  08:00:00,1206.39248036,96.3525857472,404.120659215,0.0,243.2593065,310.10971186,640.110173625,580.0801138,42.4850247072,17.5450351174
 01/02  09:00:00,1241.37917362,96.3525857472,404.187680117,0.0,243.2593065,310.10971186,629.194843482,546.11898222,56.6466996096,26.4291616523
 01/02  10:00:00,1273.90316481,96.3525857472,405.111804174,0.0,243.2593065,302.612436532,603.509709502,525.661760844,42.4850247072,35.3629239509
 01/02  11:00:00,1294.03985662,96.3525857472,417.688350621,0.0,243.2593065,310.10971186,603.877701173,497.52168049,70.808374512,35.5476461705
 01/02  12:00:00,1323.38821263,96.3525857472,445.144481157,0.0,243.2593065,310.10971186,577.798952512,471.372155502,70.808374512,35.618422498
 01/02  13:00:00,1289.7501794,96.3654987269,452.51995455,0.0,243.2593065,310.10971186,550.603492597,444.352376329,70.808374512,35.4427417554
 01/02  14:00:00,1326.8768205,96.469623773,455.579411199,0.0,243.2593065,302.612436532,509.663323519,417.39689708,56.6466996096,35.6197268289
 01/02  15:00:00,1329.49243974,96.5814177794,457.702689655,0.0,243.2593065,302.612436532,479.400512018,397.852861877,42.4850247072,39.0626254332
 01/02  16:00:00,1321.92169843,96.6825763663,451.375633398,0.0,243.2593065,302.612436532,493.375762294,404.728388613,56.6466996096,32.0006740712
 01/02  17:00:00,1307.39947295,96.7711097342,427.364813761,0.0,243.2593065,310.10971186,529.657101163,409.376288128,84.9700494144,35.3107636209
